-0.27	0.025	-0.1
-0.287	0.008	-0.1
-0.297	0.02	-0.1
-0.278	0.021	-0.1
-0.284	0.025	-0.1
-0.257	0.008	-0.1
-0.288	0.016	-0.1
-0.281	0.007	-0.1
-0.285	0.023	-0.1
-0.294	0.016	-0.1
-0.276	0.024	-0.1
-0.282	0.008	-0.1
-0.298	0.007	-0.1
-0.302	0.015	-0.1
-0.287	0.016	-0.1
-0.284	0.002	-0.1
-0.302	0.02	-0.1
-0.272	0.025	-0.101
-0.281	0.02	-0.1
-0.277	0.02	-0.099
-0.288	0.011	-0.1
-0.29	0.015	-0.101
-0.285	0.014	-0.1
-0.282	0.022	-0.1
-0.268	0.019	-0.101
-0.289	0.031	-0.1
-0.281	0.031	-0.101
-0.287	0.011	-0.1
-0.277	0.009	-0.101
-0.281	0.017	-0.101
-0.266	0.024	-0.101
-0.273	0.021	-0.101
-0.27	0.012	-0.1
-0.266	0.026	-0.1
-0.275	0.021	-0.101
-0.275	0.021	-0.1
-0.281	0.006	-0.101
-0.261	0.012	-0.101
-0.283	0.012	-0.1
-0.281	0.023	-0.1
-0.283	0.012	-0.101
-0.268	0.009	-0.1
-0.271	0.025	-0.101
-0.271	0.015	-0.1
-0.284	0.01	-0.101
-0.285	0.02	-0.101
-0.268	0.012	-0.1
-0.275	0.02	-0.1
-0.274	0.015	-0.101
-0.27	0.012	-0.1
-0.272	0.012	-0.101
-0.281	0.009	-0.1
-0.257	0.008	-0.1
-0.276	0.013	-0.101
-0.269	0.011	-0.1
-0.266	0.012	-0.1
-0.285	0.025	-0.1
-0.295	0.024	-0.1
-0.278	0.012	-0.101
-0.269	0.009	-0.1
-0.275	0.014	-0.1
-0.278	0.009	-0.101
-0.266	0.012	-0.1
-0.258	0.013	-0.1
-0.273	0.019	-0.1
-0.27	0.015	-0.099
-0.259	0.015	-0.101
-0.274	0.014	-0.101
-0.264	0.014	-0.1
-0.275	0.012	-0.1
-0.516	0.532	-0.098
-0.284	0.022	-0.1
-0.286	0.011	-0.1
-0.279	0.013	-0.1
-0.267	0.017	-0.101
-0.299	0.034	-0.1
-0.291	0.014	-0.1
-0.286	0.025	-0.1
-0.283	0.011	-0.1
-0.28	0.028	-0.101
-0.282	0.028	-0.101
-0.276	0.029	-0.1
-0.274	0.008	-0.1
-0.288	0.029	-0.101
-0.274	0.02	-0.1
-0.268	0.008	-0.101
-0.285	0.029	-0.1
-0.267	0.007	-0.1
-0.258	0.02	-0.1
-0.271	0.017	-0.101
-0.265	0.013	-0.101
-0.281	0.017	-0.101
-0.253	0.023	-0.1
-0.269	0.007	-0.1
-0.276	0.016	-0.1
-0.26	0.017	-0.101
-0.256	0.015	-0.101
-0.253	0.029	-0.1
-0.259	0.025	-0.101
-0.28	0.014	-0.101
-0.275	0.016	-0.1
-0.258	0.018	-0.1
-0.259	0.019	-0.1
-0.268	0.007	-0.1
-0.273	0.012	-0.1
